# el-Cevâhirü'l-mudıyye maddesi <tab> fakih id <tab> (yalnızca okumak için) madde başı · fakih adı
# Madde numarası tools/import_cevahir.py'nin verdiği sıra numarasıdır (kitaptaki sıraya göre, 1'den).
# Eşleşmeler ad zinciri, nisbe ve vefat yılına göre bulunup tek tek elle kontrol edildi.
370	bisr-b-giyas-el-merisi	بشر بن غياث بن أبي كريمة عبد الرحمن المريسي العدوي · بشر بن غياث المريسي
373	kadi-bisr-b-el-velid-el-kindi	بشر بن الوليد بن خالد بن الوليد الكندي · بشر بن الوليد الكندي
375	kadi-bisr-b-ebul-ezher-en-nisaburi	بشر بن أبي الأزهر · بشر بن أبي الأزهر النيسابوري
377	kadi-bekkar-b-kuteybe-el-basri	بكار بن قتيبة بن أسد بن أبي بردعة بن عبيد الله بن  · بكار بن قتيبة
378	necmeddin-bukeyr-et-turki-en-nasiri	بكترس بن يلتفقلج أبو الفضائل وأبو شجاع الحنفي · بكير التركي الناصري
380	semsuleimme-ebul-fazl-bekr-b-muhammed-ez-zerenceri	بكر بن محمد بن علي بن الفضل بن الحسن بن أحمد بن إب · شمس الأئمة الزرنجري
381	kadi-bekr-b-muhammed-el-ammi	بكر بن محمد العمى · بكر بن محمد العمي
393	ebu-isme-nuh-b-ebu-meryem-el-mervezi	الجامع لقب أبي عصمة المروزي واسمه نوح وإنما ذكرته  · نوح بن أبي مريم الجامع
406	ebul-abbas-cafer-b-muhammed-el-mustagfiri-en-nesefi	جعفر بن محمد بن المعتز بن محمد بن المستغفر النسفي  · المستغفري جعفر بن محمد
417	hamid-b-mahmud-b-makil-en-nisaburi	حامد بن محمود بن معقل النيسابوري الشاماتي القطان أ · حامد بن محمود النيسابوري
421	habib-b-omer-el-fergani	حبيب بن عمر الفرغاني الحنفي · حبيب بن عمر الفرغاني
427	kadilkudat-husameddin-el-hasan-b-ahmed-er-razi	الحسن بن أحمد بن الحسن بن أنوشروان الرازي قاضي الق · حسام الدين الحسن بن أحمد الرازي
434	ebu-abdullah-el-hasan-b-ahmed-ez-zaferani	الحسن بن أحمد بن مالك أبو عبد الله الزعفراني · الحسن بن أحمد الزعفراني
446	ebu-ali-el-hasan-b-davud-es-semerkandi	الحسن بن داود بن رضوان أبو علي · الحسن بن داود السمرقندي
448	el-hasan-b-ziyad-el-lului-el-kufi	الحسن بن زياد الؤلؤي الكوفي تكرر · الحسن بن زياد اللؤلؤي
466	zahiruddin-el-kebir-ebul-mehasin-el-hasan-b-ali-el-merginani	الحسن بن علي بن عبد العزيز بن عبد الرزاق بن أبي نص · ظهير الدين الحسن بن علي المرغيناني
468	kadi-ebu-sabit-el-hasan-b-ali-el-pezdevi	الحسن بن علي بن محمد بن الحسين بن عبد الكريم بن مو · أبو ثابت الحسن بن علي البزدوي
475	radiyyuddin-el-hasan-b-muhammed-es-sagani	الحسن بن محمد بن الحسن بن حيدر بن علي بن إسماعيل أ · الصغاني الحسن بن محمد
482	el-hasan-b-ebu-malik	الحسن بن أبي مالك أبو مالك · الحسن بن أبي مالك
486	fahreddin-kadihan-el-hasan-b-mansur-el-ozcendi	الحسن بن منصور بن أبي القاسم محمود بن عبد العزيز ا · قاضيخان الحسن بن منصور الأوزجندي
488	el-hakim-el-hasan-b-nasr-el-kesseni	الحسن بن نصر بن إبراهيم بن يعقوب الحاكم الكشاني ال · الحسن بن نصر الكشني
