# Arapça ad	Fukahâ'daki fakih kimliği. Hoca ve talebe adlarından, farklı yazılsa da kaydı olan bir fakihe işaret edenler; elle doğrulandı.
أبو يعقوب يوسف بن منصور السياري	ebu-yakub-yusuf-b-mansur-es-seyyari
أبوه أحمد بن إسحاق الصفار	ebu-nasr-ahmed-b-ishak-b-sis-es-saffar
ابنه أبو نصر أحمد بن إسحاق الصفار	ebu-nasr-ahmed-b-ishak-b-sis-es-saffar
أبوه إبراهيم بن إسماعيل الصفار	ebu-ishak-ibrahim-b-ismail-es-saffar
أبوه إسماعيل بن عبد الصادق	ismail-b-abdussadik-el-hatib-el-beyari
إسماعيل بن عبد الصادق	ismail-b-abdussadik-el-hatib-el-beyari
البدر الأبيض يوسف	el-bedrul-ebyaz-yusuf-b-el-huseyin-el-halebi
أبوه البدر الأبيض يوسف	el-bedrul-ebyaz-yusuf-b-el-huseyin-el-halebi
ابن الأبيض محمد بن يوسف	kazasker-muhammed-b-yusuf-ibnul-ebyaz-el-halebi
ابنه محمد بن يوسف ابن الأبيض	kazasker-muhammed-b-yusuf-ibnul-ebyaz-el-halebi
البدر الأبيض محمد بن يوسف	kazasker-muhammed-b-yusuf-ibnul-ebyaz-el-halebi
أبوه الحسين بن محمد البارعي	necmeddin-el-huseyin-b-muhammed-el-bari
أبوه الصدر الشهيد عمر	es-sadrus-sehid-husameddin-omer-b-abdulaziz-b-maze
ابنه الصدر الشهيد عمر	es-sadrus-sehid-husameddin-omer-b-abdulaziz-b-maze
عمه الصدر الشهيد عمر	es-sadrus-sehid-husameddin-omer-b-abdulaziz-b-maze
الصدر الشهيد حسام الدين عمر	es-sadrus-sehid-husameddin-omer-b-abdulaziz-b-maze
الصدر الشهيد حسام الدين عمر بن مازه	es-sadrus-sehid-husameddin-omer-b-abdulaziz-b-maze
أبوه القاضي أبو الهيثم عتبة	ebul-heysem-utbe-b-hayseme-en-nisaburi
القاضي أبو الهيثم عتبة	ebul-heysem-utbe-b-hayseme-en-nisaburi
الهيثم بن أبي الهيثم	el-heysem-b-ebul-heysem-utbe-en-nisaburi
برهان الدين الكبير عبد العزيز	burhanuleimme-burhaneddin-el-kebir-abdulaziz-b-omer-b-maze
أبوه برهان الدين الكبير عبد العزيز	burhanuleimme-burhaneddin-el-kebir-abdulaziz-b-omer-b-maze
