# Arapça	Türkçe okunuş (hoca ve talebe adları; fakihlerin kendi sayfası olanlar orada yazıldığı gibi alınır)
أبوه القاضي أبو الهيثم عتبة	babası Kadı Ebu'l-Heysem Utbe
أبوه برهان الدين الكبير عبد العزيز	babası Burhanüddin el-Kebir Abdülaziz
أبوه برهان الدين عبد العزيز	babası Burhanüddin Abdülaziz
أبوه برهان الدين محمود صاحب المحيط	babası Burhanüddin Mahmud, el-Muhit müellifi
أبوه بكر الزرنجري	babası Bekir ez-Zerenceri
أبوه تاج الدين إبراهيم بن الخطيب	babası Tacüddin İbrahim b. el-Hatib
أبوه جلال الدين	babası Celaleddin
أبوه جمال الدين عبيد الله المحبوبي	babası Cemaleddin Ubeydullah el-Mahbubi
أبوه جمال الدين محمود الحصيري	babası Cemaleddin Mahmud el-Hasiri
أبوه جوي	babası Cevi
أبوه حامد بن محمود	babası Hamid b. Mahmud
أبوه حماد	babası Hammad
أبوه حمزة	babası Hamza
أبوه خضر بيك	babası Hızır Bey
أبوه سراج الدين عمر	babası Siraceddin Ömer
أبوه شمس الدين الديري	babası Şemseddin ed-Deyri
أبوه شمس الدين الفناري	babası Şemseddin el-Fenari
أبوه شمس الدين محمد	babası Şemseddin Muhammed
أبوه شهاب الدين محمود	babası Şehabeddin Mahmud
أبوه صاحب الهداية	babası Hidaye müellifi
أبوه صدر الدين سليمان	babası Sadreddin Süleyman
أبوه صدر الدين سليمان بن وهب	babası Sadreddin Süleyman b. Vehb
أبوه صدر الشريعة أحمد	babası Sadrüşşeria Ahmed
أبوه عبد الرشيد	babası Abdürreşid
أبوه عبد السيد	babası Abdüsseyyid
أبوه عبد العزيز	babası Abdülaziz
أبوه عثمان	babası Osman
أبوه عثمان بن إبراهيم	babası Osman b. İbrahim
أبوه علاء الدين علي	babası Alaeddin Ali
أبوه علي الفناري	babası Ali el-Fenari
أبوه عماد الدين	babası İmadüddin
أبوه عمر بن مهير	babası Ömer b. Müheyr
أبوه عيسى	babası İsa
أبوه قاضي القضاة شمس الدين عبد الله الأذرعي	babası Kadılkudat Şemseddin Abdullah el-Ezrai
أبوه قاضي قسطموني	babası Kastamonu kadısı
أبوه قوام الدين أحمد	babası Kıvamüddin Ahmed
أبوه محمد	babası Muhammed
أبوه محمد بن أحمد	babası Muhammed b. Ahmed
أبوه محمد بن شهاب الكردري	babası Muhammed b. Şihab el-Kerderi
أبوه محمد شاه الفناري	babası Muhammed Şah el-Fenari
أبوه محمود بن الحسين	babası Mahmud b. el-Hüseyn
أبوه محيي الدين محمد العمادي	babası Muhyiddin Muhammed el-İmadi
أبوه مسعود صاحب المختصر المسعودي	babası Mes'ud, el-Muhtasarü'l-Mes'udi müellifi
أبوه موسى	babası Musa
أبوه نجم الدين عمر النسفي	babası Necmeddin Ömer en-Nesefi
أحمد الخيالي	Ahmed el-Hayali
أحمد القريمي	Ahmed el-Kırımi
أحمد بن حنبل	Ahmed b. Hanbel
أحمد بن محمد البرتي	Ahmed b. Muhammed el-Birti
أحمد بن محمد العقيلي	Ahmed b. Muhammed el-Ukayli
أحمد بن محمد الناطفي	Ahmed b. Muhammed en-Natifi
أحمد بن محمد بن محمود الغزنوي	Ahmed b. Muhammed b. Mahmud el-Gaznevi
أحمد بن محمود الغزنوي	Ahmed b. Mahmud el-Gaznevi
أحمد بن منيع	Ahmed b. Meni'
أخو المولى خسرو	Molla Hüsrev'in kardeşi
أخوه علاء الدين علي	kardeşi Alaeddin Ali
أشرف بن نجيب الكاساني	Eşref b. Necib el-Kasani
إبراهيم القيصري	İbrahim el-Kayseri
إبراهيم بن أدهم	İbrahim b. Edhem
إبراهيم بن رستم	İbrahim b. Rüstem
إسماعيل الكوراني	İsmail el-Kurani
إسماعيل بن أبي خالد	İsmail b. Ebi Halid
إسماعيل بن إسحاق القاضي	Kadı İsmail b. İshak
إسماعيل بن جعفر	İsmail b. Ca'fer
إسماعيل بن عبد الصادق	İsmail b. Abdüssadık
إسماعيل بن علية	İsmail b. Uleyye
إمام زاده	İmamzade
ابن أبي ليلى	İbn Ebi Leyla
ابن أخته محمد بن محمود خواهر زاده	kız kardeşinin oğlu Muhammed b. Mahmud Haherzade
ابن أخيه الحسن بن علي	yeğeni el-Hasan b. Ali
ابن أخيه علي بن مودود	yeğeni Ali b. Mevdud
ابن أمير حاج الحلبي	İbn Emir Hac el-Halebi
ابن إسحاق	İbn İshak
ابن ابنه أبو منصور أحمد بن محمد	torunu Ebu Mansur Ahmed b. Muhammed
ابن ابنه صدر الشريعة عبيد الله بن مسعود	torunu Sadrüşşeria Ubeydullah b. Mes'ud
ابن الأبيض محمد بن يوسف	İbnü'l-Ebyaz Muhammed b. Yusuf
ابن الزبيدي	İbnü'z-Zebidi
ابن الصواف	İbnü's-Savvaf
ابن المبارك	İbnü'l-Mübarek
ابن المعلم إسماعيل	İbnü'l-Muallim İsmail
ابن المعلم إسماعيل القرشي	İbnü'l-Muallim İsmail el-Kureşi
ابن جريج	İbn Cüreyc
ابن حجر العسقلاني	İbn Hacer el-Askalani
ابن عبد الدائم	İbn Abdüddaim
ابن عقيل	İbn Akil
ابن عون	İbn Avn
ابن عيينة	İbn Uyeyne
ابن كمال باشا	İbn Kemal Paşa
ابن ماجه	İbn Mace
ابنته فاطمة	kızı Fatıma
ابنه أبو أحمد نصر العياضي	oğlu Ebu Ahmed Nasr el-Iyazi
ابنه أبو السعود	oğlu Ebu's-Suud
ابنه أبو الفرج عبد الرحمن بن شجاع	oğlu Ebu'l-Ferec Abdurrahman b. Şuca'
ابنه أبو القاسم علي	oğlu Ebu'l-Kasım Ali
ابنه أبو القاسم مسعود	oğlu Ebu'l-Kasım Mes'ud
ابنه أبو الليث أحمد	oğlu Ebu'l-Leys Ahmed
ابنه أبو المظفر منصور	oğlu Ebu'l-Muzaffer Mansur
